vin,sellingprice
1g6dp567450124779,3473.7531001984134
1gtw7fca7e1902207,22822.53632371509
jn8az1mw6dw303497,19287.031679258238
2g1wf5e34d1160703,9065.901298662426
1n6aa0ec3dn301209,22916.662946428572
wvwvd63b93e175638,2198.2570684523807
5npeb4ac4dh809686,12540.089285714286
1fm5k7b97dgb16454,14416.026785714284
jn1cv6ar5bm411441,17909.74392361111
3gnfc16j77g158033,9583.798363095237
2g1wb5e30d1140332,12880.046502976194
jf2sjadc1fh417932,23934.315476190477
1fmcu0f75eue15137,8275.996279761905
jn8az18w29w128991,13556.054687500002
3fadp4ejxcm158293,6187.211681547619
1fahp2e96dg230937,15336.021205357145
knaft4a24b5326931,7821.145833333331
wbaeb5c57ac225968,36937.73437499999
1gndt13sx62216518,5520.6640625
3gcukrec4eg454516,27238.965604707784
kmhgc4ddxcu168540,16709.951636904763
2gnfleek4c6221421,13539.322916666668
3gnda23d06s523147,5770.948970734127
ja32u1fu0du008397,9273.396577380954
1fbne3bl1eda46070,19652.417412173545
2b8gp54l01r117477,1124.9981398809523
1fadp3f28el323070,12286.412846162426
1g3nl52f32c104253,987.1875
yv4992dz6a2034805,14045.308779761905
1gmdv33l15d274975,2824.4782366071427
3fahp0ha5cr314457,11385.318080357145
kndjp3a5xe7072298,14100.231171974752
jh4cu2f49cc003441,18137.1837797619
1g2zm177284122405,6967.0349702380945
1hgcp2f38ba122870,12667.533482142853
1n4aa5ap0bc847988,17151.916542658735
jt2bf28kx10337262,2767.4367559523807
2gtek13v961325160,8794.544270833334
1n4aa5ap7ac811245,16132.127976190477
1fadp3k25el151313,13485.50579977695
4t1bf1fk9eu774829,15050.990823412702
waugfafc2en098654,37627.79296875
3fa6p0hr2dr238002,11945.082490079367
3fahp0ja5cr276738,9348.307291666666
2g1fa1e30d9157807,15915.957961309525
2t3bfrev4dw038526,17673.303571428572
5yfbu4ee8dp189095,12010.360157532841
yv1sz59h741164165,4367.185639880954
1hgcr2f84da020569,18181.209077380954
1c4njcba3fd124498,14485.714285714283
1n4aa51e09c834554,9628.89880952381
1fmfu17525la35873,6411.09375
3vw2k7aj6dm209150,10445.104166666668
5j6rm3h7xdl004568,20710.32924107143
waufgafb8an026867,19746.117001488088
3fahp0ha0cr307061,11581.664186507936
1lnhm87a82y644589,855.4947916666667
2hkrl18022h576543,1420.978422619048
2t1burhe2ec210372,13584.630456349207
nm0ge9f77e1151554,20759.42522321429
5xxgr4a66dg133932,19875.73970734127
5j6re48348l033196,7779.071800595239
1gnlvfed5aj252374,12673.556547619046
1ftfw1e69dfd71401,33526.741071428565
kmhdh4ae8du795370,8907.040550595239
1n4al2ap3cn408119,12905.457589285712
waugn74f37n041255,14292.57626488095
5xykt3a63eg479116,15382.332589285716
4t1bf3ek2au532729,9747.220982142855
knafx4a62e5225883,11721.145833333334
jnkcv51e63m329092,3909.722842261905
jn1by1ar2cm394735,27188.49155618687
1j4fa59s0yp723644,10196.123511904763
1fahp3f28cl166154,8425.431547619048
jtebu4bf2bk113263,26047.037760416664
2c4rc1gg7er180355,26794.866071428576
2hges16374h588764,2228.5984002976197
wddgf81x78f169485,15792.769717261906
2c4rdgcg3er388917,16715.984623015873
1n4al2ap5cn424564,10780.175547576517
1ftfw1et8cfb48321,27019.840959821428
3fa6p0h71er259567,16270.989249465809
1c3cdzab7dn610562,9662.386562625843
1c6rd7ft7cs204333,12948.260788690475
5npeb4ac3ch290449,11699.547991071426
1ftfw1ef3bfc35956,26396.783854166668
jf1znaa10d1719373,16914.921875
2c4rdgegxer431226,19478.64211309524
1n4al3ap9ec105740,12767.04447375541
wbxpa73464wc36440,4053.875558035714
yv440mdb2f2610299,29804.064360119046
2c3ccakt9eh306087,24768.654513888883
2d4fv47tx6h156976,1991.3039434523803
1fbss3bl5edb01101,22125.5883751919
1ftww31p86ec33609,13951.354166666668
1g6dw677x50225462,3931.287202380952
1ftfw1r69dfb74948,49553.97135416666
1fahp2e82eg107578,18631.175820707067
jn1cv6ek3cm422386,22256.09375
3fa6p0h7xdr271747,13605.74326741566
1g6dw677550216409,4868.515625000001
2gkaluek7c6276284,17553.307291666668
4t4be46k09r098027,5418.333333333335
1ft8w3dt0deb21420,43724.59139384921
knafe122845051705,2101.8536086309523
1g1pe5sb9e7114453,13105.34148191898
3c4pddbg6ct222361,9639.348958333334
km8jn72d05u127017,3852.1186755952385
5tfhw5f13cx249936,25717.736235119046
1g1pc5sb7d7144958,7032.371651785715
1gnwkmeg6br194783,21365.103236607145
1g1zd5eb9af288546,8167.434895833333
1j4gw48s44c336467,4269.325396825397
2melm74w1vx603619,413.9583333333333
knafx4a67e5127187,11337.80932441412
2t1br32e14c264462,3983.336884469697
1g1zd5eu9bf201988,6012.630208333332
kndup131046562894,3248.4765625000005
2g1wf5ek1b1281581,5414.367559523808
2t2gk31u77c011844,13553.035714285714
1ftnf1cf8ekd17420,18738.046098651685
waulc68e63a233402,5406.50390625
jthgl46f875015124,15698.286830357143
5j6rm3h53cl025176,18792.508962391777
1fahp3fnxbw188972,8308.143601190473
wbabd33424jy97817,3819.9609375
5uxfe83529l170811,21477.584635416664
jtdktud32ed584445,12044.159226190473
1g8aj55f77z187488,3437.821800595238
2c4rdgcg0cr204451,10382.333187693108
1n4aa5apxec438000,16148.615141369051
19uua9f55ca002462,23384.973958333332
1ftne24w67da44976,3242.823660714286
jn1cv6el0am150112,12137.78087797619
1fahp3n26cl476501,6938.80146329365
jn8af5mv5dt210835,13843.668154761903
1gnsckkc8fr205029,53466.45833333333
wddgf56x08f039121,10797.304687499996
3n1cn7ap6dl876005,8474.223603219696
1n4aa5ap3cc815652,16568.84672619048
3fadp4ej1dm227597,10274.07738095238
2t3bf4dv7bw172688,13787.200520833332
1g11h5sa9df251711,13737.739955357145
3lnhl2jc4ar615582,13348.8529265873
4t1bf32k33u562748,1087.7678571428573
1d7hu18d75s323919,9124.19642857143
1b3cc4fb9an189063,7035.377604166666
1gndt13s662358557,3944.0885416666665
wddgf4hb5cr239429,20624.79724702381
km8jt3ab7cu401390,10953.746354166662
1gkev23768j263857,11818.958333333334
jthbf5c24c5176380,21814.836172178268
1hgcg165x2a027836,1625.9787326388887
kmhd35le6du156678,13956.594122023811
wbavm1c51dvw41350,22650.378308757216
1c4rjeag7ec144910,24218.28683035715
2d4rn4de8ar496990,7572.302827380953
4t1bf1fk7cu098636,14130.427827380952
wauaf78e26a046795,2224.2838541666665
1gkdt13s122106237,1857.1847098214291
1n4ba41e66c829787,3648.776041666667
4t3zk3bb8au024609,16879.748883928572
1fm5k8d83dgb86317,26498.672623460672
1n6ad0ev4ac404087,15565.731026785716
2c3ccabg4eh261658,23390.81473214286
1fafp552x3a196871,820.2957589285714
1gnscbkcxfr160773,42286.30394345239
kmhct5ae1du137471,10494.4140625
2hges16543h601504,2096.2875124007937
wba3b5g51fns15840,37515.016233766226
3c4pdddg8dt615227,13533.169642857141
jthce1blxd5001563,30886.437872023806
1j8gl58k85w613103,2519.182477678572
3fahp0gaxcr304900,8623.546739718617
1ftnf1cf0ekd48113,18087.82339107927
1fahp2f83eg183230,19368.752111486483
1g1jc6shxd4189457,7964.680148536773
1fmzu73k53uc18137,1095.1497395833333
1fmcu0h92dud56139,17838.82694128788
jm3ke2cy8f0434836,19242.749255952378
1g1zf57579f254408,9825.714285714288
jthbk262982063524,11224.745163690477
3n1bc1cp1al391729,3391.3441896645018
4t1be46k47u032443,7489.229910714286
jn1cv6ap9dm713252,23036.52523531138
jtlkt334264049092,2878.44494047619
4jgdf7ce4da223492,43125.58273809525
wp0ab2a90ds123041,83981.9921875
2g1wf5e37d1220344,8828.126910891358
1c3cdfbaxdd268356,12503.654138859336
1j4rr4gg4bc555195,17876.57180059524
1gyek63n92r200314,2985.083705357143
5j6rm4h55cl021118,15353.655133928569
jm1bl1uf3b1390089,8426.838839285714
1nxbu4ee9az306581,8881.49181547619
3ln6l2gk8er825498,30845.71242559524
kmhcn46cx9u341270,2771.8024553571436
1fmjk1h5xbef34161,25971.852678571428
jm1gj1v66e1162487,18624.669828869046
1fafp55s53g166741,2104.6261160714284
jhlre4h47bc035761,14805.840435606062
1hgcg56702a023996,2138.8653273809523
3vwrt71k66m746558,3607.4237351190477
5tfdw5f17cx249548,26705.32180059524
2c4rdgcg8er253237,16773.523507793267
19uua56883a074677,2799.027157738095
2lmdu68cx8bj05646,13599.929315476189
5n1ar18u67c626356,4346.677827380953
1ftne2ew8eda20173,23000.539786157307
1fahp3gn9bw184524,6710.819692460318
19xfb2f5xee243381,7746.874534970237
1gtw7fca5e1905770,21347.56479199618
1zvht85h455209305,12956.672247023807
1fafp55u11a128859,1900.1543898809523
jthbe1bl6d5001460,29755.950520833336
jm3er2bm7b0405127,14395.247395833332
2c3cdxct1eh315591,23126.0974702381
5xxgn4a7xcg039135,13679.661458333332
1g2zg57bx94117540,2703.7239583333335
3n1ab6ap9al644813,7037.215401785715
jtjbt20x930014425,16233.221726190475
1g6dt57v780164982,12591.91158234127
2fmdk3kc4eba30799,22685.059291286227
2c4rdgbg9dr616368,8876.728050595239
1ft8w3bt5cea27096,34017.15587797619
jthbe96s070016618,11495.106026785712
jtmbk33v085063691,9854.583333333334
3lnhm28t28r660744,6481.238839285715
jtmbd31v275093545,9399.924355158731
1gtek19z26z254627,10523.824404761903
jtebu5jr0a5028050,22969.172247023813
4t1be46k07u044069,5169.025297619048
5xxgm4a7xeg282238,14782.167658730163
5npdh4ae4eh505402,13158.46137152778
wdbrf40j63f382931,4180.200892857143
5tfhy5f11dx308848,37710.58810763889
1n4aa5ap9bc866393,13959.70424107143
1j4gz78yxwc163618,694.3939112103177
2t3bf4dv6bw173640,15119.430414244187
1n4al3ap6dn429862,14019.73644905892
1c3cdzab4cn136021,9494.642091812411
1fmcu0dg1ckc48030,8988.679315476193
jn8ae2kp0d9068333,16782.337425595244
1mefm50ux2g620409,1310.2151041666668
1fmyu031x5ka88199,2415.102306547619
5npet46c59h535167,4551.287202380951
jn8cs1mw4dm173129,32520.412946428572
1fmcu0gx4eub81474,17570.540674603177
jtdkn3du5d1615796,14692.845982142857
1fm5k8d89dga37233,26461.927083333336
1ftpx14555na08675,3192.9086061507933
1fmhk8d85cga18738,21767.545634920632
wddng71x07a121188,14948.359375
1b3hb48b37d201969,3436.5494791666665
2hgfa16519h369184,4960.546875
1gys4kef6br346956,40121.66104910714
1b3cb4ha4ad603024,4876.024925595238
2fmza52256ba56681,2714.205729166667
1n4aa5ap8ec486577,13557.095940806877
2g1wg5e33d1191129,9649.635243006538
2fmdk4jc7dbb48738,22208.596975118973
jn8az1mw3bw182053,15845.153356481476
knafk4a67e5154467,11622.151537698412
wddgf4hb8ea930911,24137.005631087657
19uua8f20ca020058,19194.52566964286
jn8as5mv1cw705624,15811.406249999998
1g1jc6sg3d4231703,9793.673611111111
knaft4a25a5242857,5794.440104166666
wdbtk76g84t024831,5320.208333333333
wba3a5c55cf345182,26265.924479166664
1c4bjweg5dl655483,31128.351934523813
1gcec29029z162071,14333.055555555555
1c4pjmak6cw120986,9707.741815476189
1fmpu15576lb00788,3828.4933035714294
2gnfleek5c6358786,13588.55357142857
2c4rc1cg3er180357,24097.414434523813
2b3ka43r58h326800,4371.824776785715
1g2zg558964261180,2732.2878574276597
wmwmf73518tt88928,7178.802083333334
kmhhn65f76u206174,3717.68043154762
2d4gv58205h591407,3729.543030753968
1n4al11d96n405049,3734.6614583333335
jf1znaa18d2731233,19289.926215277774
2hgfg1b99ah500776,9793.563988095239
2t2bk1ba3cc153153,27053.43439980159
1ftne2ewxeda19977,21348.42168279839
jn8az1mw8dw313688,14850.613653273815
1gbhg39c591143468,5127.546502976189
wmeej3ba0ck553414,5582.376302083334
5j6yh18798l015149,7888.024553571428
2d4rn5dg4br721026,8670.649181547618
1j4gx48s24c385874,6418.697296626985
wbapt735x8cx00895,9660.721726190477
1fbss31l53ha60766,5728.3237227182535
2fmhk6c85dbd11442,18576.069444444445
5tftx4gn8dx024805,14366.821056547617
wauhfaflxcn010306,19392.198660714283
kmhgc4dd2du221586,17574.499937996035
2c3ja53g25h678246,3091.6660466269836
1ftyr14u0wta78359,2039.1052827380952
jn1cv6ekxdm923406,27058.763020833332
2fmdk4kc4cba79827,22668.729191586917
1yvhp81a695m35040,6779.726562499999
salmf13496a235125,15370.870535714283
kmhfh4jgxda233076,16069.888392857141
3fa6p0k99er301400,15600.788690476193
2gnaldek6c1277684,11049.88467261905
4jgcb65e67a056765,6629.526909722222
5j6rm4h33dl071421,16974.312996031742
4a32b3ff9ce023054,9823.938988095239
1gcrkpea0cz276898,11636.369047619046
2a4gp54lx6r781680,2804.1173735119046
5fnrl5h60cb073055,15708.803943452378
1fm5k8d88ega09800,24612.532320670092
1gtw7fca0e1906082,22006.760128305894
1gkek63ux4j159713,5565.658482142857
ja3au86u78u008441,4345.399925595238
1g8al55f66z160145,989.7879464285717
wbaet37465nj89798,9108.785342261905
1g1ak15f177200574,4412.93712797619
1n4al3apxdn440136,15803.45415493041
3d7mx48c36g247655,9064.291294642855
jthkd5bh7c2055355,18609.645790407514
1fm5k8f85fga04570,28276.716889880954
wdbsk75f43f060145,15465.915178571428
1n4aa5ap8ac816289,9890.572916666664
2fmdk4kcxdbb95356,17873.3378125
5yfbu4ee5dp087012,9596.60342261905
2g4ws52j131114990,1051.5178571428573
1c4rjfcg7cc103273,20304.681919642862
jthbf5c29d5187781,24292.012310606056
2t1bu4ee8cc800628,9693.83852589882
2c4rdgeg2er179133,19005.4650297619
jn8as5mtxew603465,9076.803075396825
5j6re4h71bl067297,16428.62537202381
3fahp0ha3cr291860,9414.82700892857
4jgbf7be5ca781293,25231.494884672615
3g5da03l07s562513,3266.3219246031745
1n4bl11d96c251104,4912.979910714286
jthbf5c25c2102810,21538.096340829063
jm1cw2bl8d0149065,12032.60777529762
3tmlu4en7em150625,30683.92118731962
3vwsf71k36m629545,2664.8828125
wbafu7c58cdu58748,29491.77492559524
3vwbx7aj5bm108602,9813.876488095239
5npdh4ae0fh571222,10248.2279265873
1n4al3ap8en260008,18019.528149801587
1g6ky54911u182876,655.5357142857142
1n4aa5apxbc856004,18349.503348214283
1fafp56u67a191527,3140.7421875
jthch96s260017537,13207.174479166666
4t1bf32k43u557395,1897.6990327380952
3fa6p0lu8er308079,21063.91555059524
1n4al2apxcn413527,13383.211865387128
jn8cs1mw3dm173915,26015.08690476191
1ftne2ew4dda54948,18108.148603544527
1ftpw14584ka09953,9010.868675595239
1g1zd5e0xcf385031,10406.144097222223
wbafr7c54cc810649,27499.663938492064
1hgcp2f67ca142264,12088.882529005772
1j4rr5gt4bc603765,21173.831845238095
jtjbt20x350075451,2946.720610119048
1c4njrfb3fd249037,17740.283668154756
1yvhp80c385m20285,4107.0703125
4m2cn8b77akj08834,8568.020833333332
1hgcp2f32ca079306,13141.642485119044
jthcf5c24b5051415,19873.42447916667
1vwbp7a31dc109607,13435.407552083332
1gnkvgkd4dj194946,21095.53571428571
5fnrl5h43cb013351,17108.118799603177
3fa6p0h94er382314,16573.15290178571
3vwsb69m92m095277,2080.1800271739135
1ftkr1ad0bpb02706,8476.445374503968
1hgcp2f68ca145092,14026.382744859307
wbagl63413dp61945,2660.537388392857
1g11b5sa3df131680,12353.463541666668
1n4al2ap4bc140482,7979.887152777777
1b3el46x14n308491,1672.284226190476
1n4al11d56n333816,5298.463541666667
wbskg9c55ce797894,40592.69314236112
1n4al3ap7dc912532,14515.182291666666
3gkfk16r1xg529905,689.6977306547619
wbaxg5c59cdx03671,29427.232082853305
4n2zn16t42d808408,824.287574404762
1fmju2a59eef40614,30720.10602678571
3c4pddbg0et211908,16192.470238095237
2t3df4dvxcw191648,19420.0390625
1ftne24213ha50152,2161.190476190476
1n4aa5ap5dc830123,21245.870535714286
5gten13e588114084,12093.997395833336
19xfb2f92ce015858,12655.662351190475
3fa6p0h71er243840,16071.700148809523
1g6dm577040113901,2844.447544642857
1c4hjwfg8dl664400,33068.01711309524
1j4fa39s76p781106,16358.701636904763
1fmzu73k05uc04214,3691.648065476191
jm1cw2dlxc0141481,14977.054191468254
2hnyd18814h548804,8893.59623015873
jthcf5c22c5057540,22691.47872400542
1c3cdzab6dn607023,9118.857465664873
1gcskse38az100409,18007.228422619046
2t2zk1ba3dc124462,32359.063740079364
1n4al3ap8fn311380,10936.700148809525
jtjht00w923521747,8296.447792658731
1n4al2ap8bc148553,11133.528754733425
3fa6p0luxer308326,17837.488839285714
1g6ds5e33c0100614,14571.649925595242
6g2er57788l127964,7475.234374999998
kmhec4a43da066396,12252.808779761906
1fmcu9d79ckb22440,12010.572916666668
1ftew1cm0ekd93017,26353.344117160745
2t2bk1ba7cc145833,27516.391369047622
5uxwx5c57blw13582,27156.16443452381
1gnec13t24j223706,9906.553199404761
1c4gp64l9yb658059,631.1365327380953
2c3cdyag7dh604131,17827.641369047622
1c3bcbfg8cn279810,15073.464285714283
wba3a5c55ep601379,34841.38454861111
5tdba23c64s003155,2790.354662698412
knafx4a62e5097239,11346.573179424739
wbabd534x6pl17693,6364.670758928572
wbawb73547p021677,9689.377790178572
3fahp0hg7cr419926,9780.465029761905
4t1bf1fkxeu419703,17068.226640087854
1vwah7a32dc088713,13301.342135896697
wddgf4hb4cr216756,21469.36662946429
jthbn36fx55021972,11648.549107142855
wddgj4hb4cf802891,21679.943576388887
5fnyf3h55db017208,25486.493917354495
3vwrm71kx8m180209,4009.7898065476197
5fnyf4h73cb048964,23326.848408778675
1a8hx58p77f544718,5997.754836309524
1n4bu31d9sc101562,746.3253348214284
3d4pg5fv0at150580,6219.438244047619
1fm5k7b89dga29971,19968.858506944445
1fm5k8d85dgb79417,16631.19047619048
2c4rdgbg9cr146454,5554.841044372294
jtdkdtb36e1574688,16035.980282738095
5npeb4acxch416211,11336.1080109127
1ftne24w04ha63334,1701.1290922619046
1fahp32n49w170273,4558.660714285715
knadm4a36e6394885,11910.284598214286
yv4940dl1e2516909,28114.69680059524
wbadm6344ygu28113,1712.9752604166667
5xyktca62fg600638,20907.089477362915
2c4rdgbgxdr656040,13680.725604348134
1zvbp8em3e5231769,13530.473958333334
5npeb4ac1dh747390,12899.910714285714
sajwa71b06sg49749,4873.710937499999
2c3ccaagxeh232618,18577.863061417745
2g1wf52e749274511,1175.3404017857142
1hgcs1b87ca014624,11822.142857142857
5tdzk3eh7as019760,16366.247519841269
1c3ccbbb1dn545698,11702.460937499998
1gdgg31v061903480,2108.4505208333335
jh4cu2f40cc013422,18147.168898809527
1j8gr48k89c543652,12506.171875
1gcdt136758206181,6810.825892857144
1g6kd54y35u238468,697.1168154761904
yv1mh682452064955,1809.322916666667
wa1wkafp8ca038020,25915.943198164685
5xykt3a69cg300963,14019.174107142859
2c3ja53g65h530438,2432.9278273809527
jteht05j732043105,9446.478174603175
waujf78kx9n051245,11680.286458333334
wddgf8ab3da803774,25259.927637721757
1fadp3e29dl186382,10726.588541666666
jm1bl1ug8b1901479,9809.246651785716
1g1jc5sh9c4159245,8219.720982142857
1ftfw1ct8ekd55644,35027.99479166668
jtebu11f98k007353,14102.98363095238
2g1fc3d31c9118200,19307.175521960682
1ftpw14524kd61376,8119.641927083332
jn8ar07s4xw366220,2931.987847222222
jhmfa16886s002021,4247.557663690477
1fmfk20557la13598,10012.730654761903
jtkjf5c73c3031845,11793.856026785716
1fmdu73w12uc78556,1413.7872023809525
jthbe262062004334,10001.66294642857
1hgcp2f69ca058253,11716.42857142857
1c4rjfag6cc226470,24592.14079559754
1n4dl01axyc220729,1332.5446428571431
1n4al3ap9ec420585,16235.729166666664
2t1bu4eexdc088902,12539.773065476187
2hgfa55587h701059,5554.0197172619055
3n1ab7ap6el622733,9530.543154761905
4a32b2ff9ce012307,5973.877728174602
1n4al3ap4dc171921,13175.677083333332
3fahp0ja9cr292361,11254.514508928572
wauvt68e03a289215,1972.6004464285716
1ftfw1et2dfb12240,32133.836805555555
jhmgd38617s046608,4378.312580240429
1g1am15b567709265,4870.383184523808
waubfafl6an051406,18246.848958333336
2g1wg5ek0b1132088,6866.159474206349
jm1de1ky4c0152251,6302.676711309525
3fa6p0lu9er308365,18857.99443561526
2g1wt58k489220398,8933.309151785714
jn1cv6ar3cm970942,16805.208333333332
3gtp2ve73dg327408,28238.861607142862
5npdh4ae3dh364031,11344.44568452381
1fmcu9c74ckb32584,6773.349404761903
5n1ar2mm7ec632479,25261.26488095238
wbana53524b848816,4042.831721230158
kmhdh4ae0du591078,14200.438988095242
jn8dr09y53w837283,4678.230883699633
2g1wf52e049343300,1043.2217261904761
1n4al3ap2dn518991,13313.445636849125
2fmdk3kc0eba39029,21915.839038217513
4a4ar5auxde025109,15438.281870039684
4jgbf71e07a277435,13194.296874999998
1c4rjfjt0ec161941,37470.6603422619
kndmg4c73e6543215,13984.036458333336
4tawn72n1wz067204,3186.073908730158
4t1ca38p94u023493,2332.4916012806634
wbawc73549e068865,17616.861979166668
4t1bd1fk6cu030673,14461.888392857143
2g1wc57m391241018,6287.903645833334
sajea51c64wd55397,2292.676711309524
kmhgc4dd7cu178426,15307.578125
2fmdk4jc9cba76004,17506.20513167388
2c4rdgeg7er431698,18993.937251984127
1j4gl48kx3w625200,3703.4300595238096
1j4hr58215c694872,6350.2325148809505
1fmeu63e58ua62563,8414.85119047619
2b4fp25b6yr855053,663.8259548611111
5fnrl38727b424521,7602.1642485119055
1g6ab5r33d0144028,18918.010069444448
1d7ha16k68j184239,12296.981026785712
1g1ak52f957602626,3435.0465029761913
1d8gt58648w218755,13614.461185515875
1g11c5sl9ef189907,16527.892485119046
5fnyf3h55cb025307,24264.014741783063
1j4gw48n24c120773,5565.029761904762
2b3ka53h37h686434,9005.555555555555
