2023-05-28 21:24:05,837 - INFO:  init params: {'rounding': {'odometer': 3000, 'condition': 1}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32}, 'handler': 'CrossValidator'} 
2023-05-28 21:24:09,285 - DEBUG:  prepare: started 
2023-05-28 21:24:10,560 - DEBUG:  prepare: fillna finished 
2023-05-28 21:25:06,542 - DEBUG:  prepare: normalize finished
2023-05-28 21:25:11,122 - DEBUG:  encode: fitted 
2023-05-28 21:25:13,525 - DEBUG:  encode: test transformed 
2023-05-28 21:25:13,525 - DEBUG:  prepare: finished
2023-05-28 21:30:38,763 - DEBUG:  model: learned
2023-05-28 21:30:45,410 - DEBUG:  model: predicted
2023-05-28 21:30:45,420 - INFO:  model: MAPE= 0.17162218203317167 
2023-05-28 21:30:45,420 - DEBUG:  prepare: started 
2023-05-28 21:30:46,550 - DEBUG:  prepare: fillna finished 
2023-05-28 21:31:41,948 - DEBUG:  prepare: normalize finished
2023-05-28 21:31:47,930 - DEBUG:  encode: fitted 
2023-05-28 21:31:50,439 - DEBUG:  encode: test transformed 
2023-05-28 21:31:50,439 - DEBUG:  prepare: finished
2023-05-28 21:37:17,429 - DEBUG:  model: learned
2023-05-28 21:37:25,653 - DEBUG:  model: predicted
2023-05-28 21:37:26,129 - INFO:  model: MAPE= 0.17110148144503948 
2023-05-28 21:37:26,179 - DEBUG:  prepare: started 
2023-05-28 21:37:27,906 - DEBUG:  prepare: fillna finished 
2023-05-28 21:38:23,761 - DEBUG:  prepare: normalize finished
2023-05-28 21:38:28,523 - DEBUG:  encode: fitted 
2023-05-28 21:38:31,049 - DEBUG:  encode: test transformed 
2023-05-28 21:38:31,049 - DEBUG:  prepare: finished
2023-05-28 21:43:57,726 - DEBUG:  model: learned
2023-05-28 21:44:04,514 - DEBUG:  model: predicted
2023-05-28 21:44:04,522 - INFO:  model: MAPE= 0.1712790279100031 
2023-05-28 21:44:04,522 - DEBUG:  prepare: started 
2023-05-28 21:44:05,838 - DEBUG:  prepare: fillna finished 
2023-05-28 21:45:00,013 - DEBUG:  prepare: normalize finished
2023-05-28 21:45:04,842 - DEBUG:  encode: fitted 
2023-05-28 21:45:07,241 - DEBUG:  encode: test transformed 
2023-05-28 21:45:07,241 - DEBUG:  prepare: finished
2023-05-28 21:50:32,928 - DEBUG:  model: learned
2023-05-28 21:50:40,298 - DEBUG:  model: predicted
2023-05-28 21:50:40,298 - INFO:  model: MAPE= 0.17017835122130245 
2023-05-28 21:50:40,298 - DEBUG:  cross-validation finished:  
 
 
 
 
 
 
 

2023-05-28 21:50:40,331 - INFO:  MAPE mean: 0.17104526065237918
2023-05-28 22:24:04,900 - DEBUG:  handle_msg[ece4399b-c046-4278-b633-26fbfb5164fa]({'header': {'date': datetime.datetime(2023, 5, 28, 19, 24, 4, 502000, tzinfo=tzutc()), 'msg_id': 'c0a148e4eb8b47e98f47bfed7cbac83c', 'username': 'username', 'session': '68cd2b6d8ecd4d068a085aa289b7a6c6', 'msg_type': 'comm_msg', 'version': '5.2'}, 'msg_id': 'c0a148e4eb8b47e98f47bfed7cbac83c', 'msg_type': 'comm_msg', 'parent_header': {}, 'metadata': {}, 'content': {'comm_id': 'ece4399b-c046-4278-b633-26fbfb5164fa', 'data': {'method': 'request_states'}}, 'buffers': []})
2023-05-28 22:24:04,915 - DEBUG:  handle_close[ece4399b-c046-4278-b633-26fbfb5164fa]({'header': {'date': datetime.datetime(2023, 5, 28, 19, 24, 4, 915000, tzinfo=tzutc()), 'msg_id': 'a10e573e7f32423692e5a35de2ea74f7', 'username': 'username', 'session': '68cd2b6d8ecd4d068a085aa289b7a6c6', 'msg_type': 'comm_close', 'version': '5.2'}, 'msg_id': 'a10e573e7f32423692e5a35de2ea74f7', 'msg_type': 'comm_close', 'parent_header': {}, 'metadata': {}, 'content': {'comm_id': 'ece4399b-c046-4278-b633-26fbfb5164fa', 'data': {}}, 'buffers': []})
