2023-05-28 17:40:30,084 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1}, 'model': {'criterion': 'poisson', 'n_estimators': 200, 'max_depth': 50, 'min_samples_leaf': 2}, 'skew': {'threshold': 2500, 'mult': 1}, 'handler': 'Validator'} 
2023-05-28 17:40:30,084 - DEBUG:  prepare: started 
2023-05-28 17:40:31,047 - DEBUG:  prepare: fillna finished 
2023-05-28 17:41:25,108 - DEBUG:  prepare: normalize finished
2023-05-28 17:41:26,194 - DEBUG:  prepare: skew finished
2023-05-28 17:41:30,980 - DEBUG:  encode: fitted 
2023-05-28 17:41:33,548 - DEBUG:  encode: test transformed 
2023-05-28 17:41:33,548 - DEBUG:  prepare: finished
2023-05-28 17:47:58,697 - DEBUG:  model: learned
2023-05-28 17:48:09,224 - DEBUG:  model: predicted
2023-05-28 17:48:09,229 - INFO:  model: MAPE= 0.17171102086057927 
2023-05-28 17:48:10,953 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1}, 'model': {'criterion': 'poisson', 'n_estimators': 200, 'max_depth': 50, 'min_samples_leaf': 2}, 'skew': {'threshold': 2500, 'mult': 2}, 'handler': 'Validator'} 
2023-05-28 17:48:11,176 - DEBUG:  prepare: started 
2023-05-28 17:48:12,131 - DEBUG:  prepare: fillna finished 
2023-05-28 17:49:06,290 - DEBUG:  prepare: normalize finished
2023-05-28 17:49:07,446 - DEBUG:  prepare: skew finished
2023-05-28 17:49:12,667 - DEBUG:  encode: fitted 
2023-05-28 17:49:15,435 - DEBUG:  encode: test transformed 
2023-05-28 17:49:15,435 - DEBUG:  prepare: finished
2023-05-28 17:56:25,767 - DEBUG:  model: learned
2023-05-28 17:56:36,697 - DEBUG:  model: predicted
2023-05-28 17:56:36,702 - INFO:  model: MAPE= 0.17513391544669243 
2023-05-28 17:56:38,392 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1}, 'model': {'criterion': 'poisson', 'n_estimators': 200, 'max_depth': 50, 'min_samples_leaf': 2}, 'skew': {'threshold': 2500, 'mult': 4}, 'handler': 'Validator'} 
2023-05-28 17:56:38,644 - DEBUG:  prepare: started 
2023-05-28 17:56:39,568 - DEBUG:  prepare: fillna finished 
2023-05-28 17:57:33,786 - DEBUG:  prepare: normalize finished
2023-05-28 17:57:35,441 - DEBUG:  prepare: skew finished
2023-05-28 17:57:41,739 - DEBUG:  encode: fitted 
2023-05-28 17:57:44,745 - DEBUG:  encode: test transformed 
2023-05-28 17:57:44,745 - DEBUG:  prepare: finished
2023-05-28 18:06:04,808 - DEBUG:  model: learned
2023-05-28 18:06:15,986 - DEBUG:  model: predicted
2023-05-28 18:06:15,991 - INFO:  model: MAPE= 0.179693614575781 
2023-05-28 18:06:17,699 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1}, 'model': {'criterion': 'poisson', 'n_estimators': 200, 'max_depth': 50, 'min_samples_leaf': 2}, 'skew': {'threshold': 2500, 'mult': 8}, 'handler': 'Validator'} 
2023-05-28 18:06:17,961 - DEBUG:  prepare: started 
2023-05-28 18:06:18,940 - DEBUG:  prepare: fillna finished 
2023-05-28 18:07:13,125 - DEBUG:  prepare: normalize finished
2023-05-28 18:07:14,774 - DEBUG:  prepare: skew finished
2023-05-28 18:07:22,243 - DEBUG:  encode: fitted 
2023-05-28 18:07:25,742 - DEBUG:  encode: test transformed 
2023-05-28 18:07:25,742 - DEBUG:  prepare: finished
2023-05-28 18:18:06,155 - DEBUG:  model: learned
