2023-06-01 16:14:53,245 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1, 'prefix_size': 10}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 4}, 'handler': 'Validator'} 
2023-06-01 16:14:53,245 - DEBUG:  prepare: started 
2023-06-01 16:14:54,161 - DEBUG:  prepare: fillna finished 
2023-06-01 16:16:00,732 - DEBUG:  prepare: normalize finished
2023-06-01 16:16:41,747 - DEBUG:  prepare: classify_sellers finished
2023-06-01 16:16:47,128 - DEBUG:  encode: fitted 
2023-06-01 16:16:49,351 - DEBUG:  encode: test transformed 
2023-06-01 16:16:49,351 - DEBUG:  prepare: finished
2023-06-01 16:21:55,966 - DEBUG:  model: learned
2023-06-01 16:22:03,049 - DEBUG:  model: predicted
2023-06-01 16:22:03,057 - INFO:  model: MAPE= 0.1335834757683081 
2023-06-01 16:22:04,796 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1, 'prefix_size': 12}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 4}, 'handler': 'Validator'} 
2023-06-01 16:22:04,928 - DEBUG:  prepare: started 
2023-06-01 16:22:05,878 - DEBUG:  prepare: fillna finished 
2023-06-01 16:23:12,350 - DEBUG:  prepare: normalize finished
2023-06-01 16:23:50,314 - DEBUG:  prepare: classify_sellers finished
2023-06-01 16:23:54,450 - DEBUG:  encode: fitted 
2023-06-01 16:23:56,613 - DEBUG:  encode: test transformed 
2023-06-01 16:23:56,614 - DEBUG:  prepare: finished
2023-06-01 16:29:47,367 - DEBUG:  model: learned
2023-06-01 16:29:53,895 - DEBUG:  model: predicted
2023-06-01 16:29:53,900 - INFO:  model: MAPE= 0.13357836349610447 
2023-06-01 16:29:55,609 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1, 'prefix_size': 15}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 4}, 'handler': 'Validator'} 
2023-06-01 16:29:55,740 - DEBUG:  prepare: started 
2023-06-01 16:29:56,705 - DEBUG:  prepare: fillna finished 
2023-06-01 16:31:02,865 - DEBUG:  prepare: normalize finished
2023-06-01 16:31:41,018 - DEBUG:  prepare: classify_sellers finished
2023-06-01 16:31:44,904 - DEBUG:  encode: fitted 
2023-06-01 16:31:47,019 - DEBUG:  encode: test transformed 
2023-06-01 16:31:47,019 - DEBUG:  prepare: finished
2023-06-01 16:38:25,280 - DEBUG:  model: learned
2023-06-01 16:38:32,103 - DEBUG:  model: predicted
2023-06-01 16:38:32,110 - INFO:  model: MAPE= 0.13364865749492688 
2023-06-01 16:38:33,951 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1, 'prefix_size': 10}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 5}, 'handler': 'Validator'} 
2023-06-01 16:38:34,087 - DEBUG:  prepare: started 
2023-06-01 16:38:35,041 - DEBUG:  prepare: fillna finished 
2023-06-01 16:39:41,406 - DEBUG:  prepare: normalize finished
2023-06-01 16:40:21,233 - DEBUG:  prepare: classify_sellers finished
2023-06-01 16:40:25,341 - DEBUG:  encode: fitted 
2023-06-01 16:40:27,568 - DEBUG:  encode: test transformed 
2023-06-01 16:40:27,569 - DEBUG:  prepare: finished
2023-06-01 16:46:57,948 - DEBUG:  model: learned
2023-06-01 16:47:04,983 - DEBUG:  model: predicted
2023-06-01 16:47:04,989 - INFO:  model: MAPE= 0.13231045369323488 
2023-06-01 16:47:06,786 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1, 'prefix_size': 12}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 5}, 'handler': 'Validator'} 
2023-06-01 16:47:06,913 - DEBUG:  prepare: started 
2023-06-01 16:47:07,863 - DEBUG:  prepare: fillna finished 
2023-06-01 16:48:14,116 - DEBUG:  prepare: normalize finished
2023-06-01 16:48:53,890 - DEBUG:  prepare: classify_sellers finished
2023-06-01 16:48:58,003 - DEBUG:  encode: fitted 
2023-06-01 16:49:00,186 - DEBUG:  encode: test transformed 
2023-06-01 16:49:00,187 - DEBUG:  prepare: finished
2023-06-01 16:55:30,126 - DEBUG:  model: learned
2023-06-01 16:55:37,202 - DEBUG:  model: predicted
2023-06-01 16:55:37,208 - INFO:  model: MAPE= 0.13205915785455016 
2023-06-01 16:55:38,986 - INFO:  init params: {'rounding': {'odometer': 1000, 'condition': 1, 'prefix_size': 15}, 'model': {'criterion': 'poisson', 'n_estimators': 128, 'max_depth': 32, 'min_samples_leaf': 2, 'max_features': 16}, 'slice': {'cat_cols': ['make', 'model', 'trim', 'body', 'transmission', 'state', 'seller', 'year', 'odometer', 'condition']}, 'model_class': <class 'sklearn.ensemble._forest.RandomForestRegressor'>, 'encoder_class': <class 'category_encoders.target_encoder.TargetEncoder'>, 'encoder': {'min_samples_leaf': 2, 'smoothing': 5}, 'sellers': {'stages': 5}, 'handler': 'Validator'} 
2023-06-01 16:55:39,113 - DEBUG:  prepare: started 
2023-06-01 16:55:40,056 - DEBUG:  prepare: fillna finished 
2023-06-01 16:56:46,182 - DEBUG:  prepare: normalize finished
2023-06-01 16:57:25,909 - DEBUG:  prepare: classify_sellers finished
2023-06-01 16:57:29,963 - DEBUG:  encode: fitted 
2023-06-01 16:57:32,112 - DEBUG:  encode: test transformed 
2023-06-01 16:57:32,112 - DEBUG:  prepare: finished
2023-06-01 17:04:01,868 - DEBUG:  model: learned
2023-06-01 17:04:08,965 - DEBUG:  model: predicted
2023-06-01 17:04:08,971 - INFO:  model: MAPE= 0.1321691282272522 
